,Plant_Species_Corrected,family,genus,mFruitLength_sp,,
522,Psychotria_peduncularis,Rubiaceae,Psychotria,NA,,
523,Psychotria_succulenta,Rubiaceae,Psychotria,6.5,Sinnott-Armstrong2019,
524,Psydrax_parviflora ,Rubiaceae,Psydrax,NA,,
525,Pterygota_mildbraedii,Malvaceae,Pterygota,NA,,
526,Pyrenacantha_sylvestris,Icacinaceae,Pyrenacantha,NA,,
527,Renealmia_congolana,Zingiberaceae,Renealmia,NA,,
528,Ritchiea_albersii,Capparaceae,Ritchiea,50,Sinnott-Armstrong2019,
529,Rothmannia_whitfieldii,Rubiaceae,Rothmannia,NA,,
530,Rubus_niveus,Rosaceae,Rubus,5.833333333,Sinnott-Armstrong2019,
531,Salacia_debilis,Celastraceae,Salacia,NA,,
532,Salacia_erecta,Celastraceae,Salacia,NA,,
533,Salacia_leptoclada,Celastraceae,Salacia,20,Sinnott-Armstrong2019,
534,Astropanax_goetzenii,Araliaceae,Astropanax,NA,,
535,Scottellia_klaineana,Achariaceae,Scottellia,NA,,
536,Smilax_anceps,Smilacaceae,Smilax,NA,,
537,Solanum_betaceum,Solanaceae,Solanum,51.66666667,Sinnott-Armstrong2019,
538,Sterculia_dawei,Malvaceae,Sterculia,NA,,
539,Strychnos_lucens,Loganiaceae,Strychnos,41.59090909,Sinnott-Armstrong2019,
540,Strychnos_mitis,Loganiaceae,Strychnos,15.63125,Sinnott-Armstrong2019,
541,Synsepalum_brevipes,Sapotaceae,Synsepalum,25,Sinnott-Armstrong2019,
542,Synsepalum_cerasiferum,Sapotaceae,Synsepalum,25,Sinnott-Armstrong2019,
543,Syzygium_parvifolium,Myrtaceae,Syzygium,NA,,
544,Syzygium_rowlandii,Myrtaceae,Syzygium,NA,,
545,Tabernaemontana_odoratissima,Apocynaceae,Tabernaemontana,50,Sinnott-Armstrong2019,
546,Tabernaemontana_pachysiphon,Apocynaceae,Tabernaemontana,110,Sinnott-Armstrong2019,
547,Tabernaemontana_stapfiana,Apocynaceae,Tabernaemontana,50,Sinnott-Armstrong2019,
548,Tapinanthus_constrictiflorus,Loranthaceae,Tapinanthus,NA,,
549,Hyalosepalum_caffrum,Menispermaceae,Hyalosepalum,NA,,
550,Toddalia_asiatica,Rutaceae,Toddalia,7.727272727,Sinnott-Armstrong2019,
551,Trichilia_dregeana,Meliaceae,Trichilia,NA,,
552,Tridesmostemon_omphalocarpoides,Sapotaceae,Tridesmostemon,NA,,
553,Tristemma_mauritianum,Melastomataceae,Tristemma,14,Sinnott-Armstrong2019,
554,Urera_trinervis,Urticaceae,Urera,NA,,
555,Uvaria_angolensis,Annonaceae,Uvaria,NA,,
556,Uvaria_welwitschii,Annonaceae,Uvaria,12.7,Sinnott-Armstrong2019,
557,Vangueria_madagascariensis,Rubiaceae,Vangueria,37.5,Sinnott-Armstrong2019,
558,Vepris_renieri,Rutaceae,Vepris,NA,,
559,Vepris_stolzii,Rutaceae,Vepris,18.7,Sinnott-Armstrong2019,
560,Viscum_congolense,Santalaceae,Viscum,NA,,
561,Viscum_triflorum,Santalaceae,Viscum,NA,,
562,Vitex_doniana,Lamiaceae,Vitex,23.74666667,Sinnott-Armstrong2019,
563,Afzelia_africana,Fabaceae,Afzelia,NA,,
564,Terminalia_leiocarpa,Combretaceae,Terminalia,NA,,
565,Bridelia_ferruginea,Phyllanthaceae,Bridelia,8.241666667,Sinnott-Armstrong2019,
566,Buxus_acutata,Buxaceae,Buxus,NA,,
567,Christiana_africana,Malvaceae,Christiana,NA,,
568,Cissus_populnea,Vitaceae,Cissus,21.4,Sinnott-Armstrong2019,
569,Cola_cordifolia,Malvaceae,Cola,NA,,
570,Cremaspora_triflora,Rubiaceae,Cremaspora,10.75,Sinnott-Armstrong2019,
571,Crossopteryx_febrifuga,Rubiaceae,Crossopteryx,NA,,
572,Cynometra_megalophylla,Fabaceae,Cynometra,46,Sinnott-Armstrong2019,
573,Alantsilodendron_pilosum,Fabaceae,Alantsilodendron,NA,,
574,Diospyros_mespiliformis,Ebenaceae,Diospyros,24.51666667,Sinnott-Armstrong2019,
575,Drypetes_floribunda,Putranjivaceae,Drypetes,21.3,Sinnott-Armstrong2019,
576,Gardenia_aqualla,Rubiaceae,Gardenia,NA,,
577,Lannea_acida,Anacardiaceae,Lannea,9.3,Sinnott-Armstrong2019,
578,Lannea_barteri,Anacardiaceae,Lannea,13.2,Sinnott-Armstrong2019,
579,Leucaena_leucocephala,Fabaceae,Leucaena,NA,,
580,Mallotus_oppositifolius,Euphorbiaceae,Mallotus,6,Sinnott-Armstrong2019,
581,Nauclea_gilletii,Rubiaceae,Nauclea,NA,,
582,Oxyanthus_racemosus,Rubiaceae,Oxyanthus,20.5,Sinnott-Armstrong2019,
583,Parkia_biglobosa,Fabaceae,Parkia,NA,,
584,Malacantha_alnifolia,Sapotaceae,Malacantha,NA,,
585,Saba_senegalensis,Apocynaceae,Saba,85.7,Sinnott-Armstrong2019,
586,Nauclea_latifolia,Rubiaceae,Nauclea,55.7,Sinnott-Armstrong2019,
587,Solanum_incanum,Solanaceae,Solanum,29.90416667,Sinnott-Armstrong2019,
588,Tapura_fischeri,Dichapetalaceae,Tapura,5.25,Sinnott-Armstrong2019,
589,Uvaria_chamae,Annonaceae,Uvaria,38.2,Sinnott-Armstrong2019,
590,Abutilon_guineense,Malvaceae,Abutilon,NA,,
591,Senegalia_ nigrescens,Fabaceae,Senegalia,NA,,
592,Vachellia_robusta,Fabaceae,Vachellia,NA,,
593,Vachellia xanthophloea,Fabaceae,Vachellia xanthophloea,NA,,
594,Acalypha_fruticosa,Euphorbiaceae,Acalypha,NA,,
595,Afzelia_quanzensis,Fabaceae,Afzelia,81,Sinnott-Armstrong2019,
596,Albizia_harveyi,Fabaceae,Albizia,NA,,
597,Alysicarpus_glumaceus,Fabaceae,Alysicarpus,NA,,
598,Balanites_aegyptiaca,Zygophyllaceae,Balanites,46.41666667,Sinnott-Armstrong2019,
599,Schnella_microstachya,Fabaceae,Schnella,NA,,
600,Phyllogeiton_discolor,Rhamnaceae,Phyllogeiton,NA,,
601,Blepharis_stuhlmannii,Acanthaceae,Blepharis,NA,,
602,Urochloa_brizantha,Poaceae,Urochloa,NA,,
603,Brachiaria_deflexa,Poaceae,Brachiaria,NA,,
604,Brachiaria_xantholeuca,Poaceae,Brachiaria,NA,,
605,Brachystegia_bussei,Fabaceae,Brachystegia,NA,,
606,Brachystegia_tamarindoides,Fabaceae,Brachystegia,NA,,
607,Bullockia_setiflora,Rubiaceae,Bullockia,NA,,
608,Caperonia_stuhlmannii,Euphorbiaceae,Caperonia,NA,,
609,Cissus_cornifolia,Vitaceae,Cissus,10,Sinnott-Armstrong2019,
610,Cissus_verticillata,Vitaceae,Cissus,7.75,Sinnott-Armstrong2019,
611,Combretum_mossambicense,Combretaceae,Combretum,NA,,
612,Combretum_zeyheri,Combretaceae,Combretum,NA,,
613,Commiphora_africana,Burseraceae,Commiphora,13.366,Sinnott-Armstrong2019,
614,Cordyla_africana,Fabaceae,Cordyla,60,Sinnott-Armstrong2019,
615,Croton_dichogamus,Euphorbiaceae,Croton,NA,,
616,Cucumis_hirsutus,Cucurbitaceae,Cucumis,47.5,Sinnott-Armstrong2019,
617,Cucumis_melo,Cucurbitaceae,Cucumis,118.75,Sinnott-Armstrong2019,
618,Cucumis_sacleuxii,Cucurbitaceae,Cucumis,NA,,
619,Cyphostemma_gigantophyllum,Vitaceae,Cyphostemma,12,Sinnott-Armstrong2019,
620,Digitaria_milanjiana,Poaceae,Digitaria,NA,,
621,Dioscorea_sansibarensis,Dioscoreaceae,Dioscorea,NA,,
622,Diospyros_kirkii,Ebenaceae,Diospyros,35,Sinnott-Armstrong2019,
623,Diospyros_loureiroana,Ebenaceae,Diospyros,NA,,
624,Digitaria_leucites,Poaceae,Digitaria,NA,,
625,Eleusine_indica,Poaceae,Eleusine,NA,,
626,Eriochloa_barbatus,Poaceae,Eriochloa,NA,,
627,Erythroxylum_emarginatum,Erythroxylaceae,Erythroxylum,10.08823529,Sinnott-Armstrong2019,
628,Euphorbia_hirta,Euphorbiaceae,Euphorbia,NA,,
629,Euphorbia_systyloides,Euphorbiaceae,Euphorbia,NA,,
630,Ficus_platyphylla,Moraceae,Ficus,17.475,Sinnott-Armstrong2019,
631,Grevea_eggelingii,Montiniaceae,Grevea,NA,,
632,Haplocoelum_inoploeum,Sapindaceae,Haplocoelum,16,Sinnott-Armstrong2019,
633,Hibiscus_articulatus,Malvaceae,Hibiscus,NA,,
634,Hibiscus_cannabinus,Malvaceae,Hibiscus,NA,,
635,Hibiscus_micranthus,Malvaceae,Hibiscus,NA,,
636,Hygrophila_auriculata,Acanthaceae,Hygrophila,NA,,
637,Hyparrhenia_filipendula,Poaceae,Hyparrhenia,NA,,
638,Indigofera_colutea,Fabaceae,Indigofera,NA,,
639,Indigofera_dendroides,Fabaceae,Indigofera,NA,,
640,Ipomoea_aquatica,Convolvulaceae,Ipomoea,NA,,
641,Ipomoea_biflora,Convolvulaceae,Ipomoea,NA,,
642,Ipomoea_coptica,Convolvulaceae,Ipomoea,NA,,
643,Ipomoea_crassipes,Convolvulaceae,Ipomoea,NA,,
644,Ipomoea_eriocarpa,Convolvulaceae,Ipomoea,NA,,
645,Ipomoea_lapathifolia,Convolvulaceae,Ipomoea,NA,,
646,Ipomoea_mombassana,Convolvulaceae,Ipomoea,NA,,
647,Ipomoea_obscura,Convolvulaceae,Ipomoea,NA,,
648,Ipomoea_pileata,Convolvulaceae,Ipomoea,NA,,
649,Ipomoea_venosa,Convolvulaceae,Ipomoea,NA,,
650,Lannea_schweinfurthii,Anacardiaceae,Lannea,11,Sinnott-Armstrong2019,
651,Lantana_radula,Verbenaceae,Lantana,NA,,
652,Leptochloa_panicea,Poaceae,Leptochloa,NA,,
653,Maerua_grantii,Capparaceae,Maerua,NA,,
654,Manilkara_mochisia,Sapotaceae,Manilkara,17.66666667,Sinnott-Armstrong2019,
655,Meyna_tetraphylla,Rubiaceae,Meyna,NA,,
656,Oryza_punctata,Poaceae,Oryza,NA,,
657,Dichanthelium_dichotomum,Poaceae,Dichanthelium,NA,,
658,Megathyrsus_infestus,Poaceae,Megathyrsus,NA,,
659,Pavetta_fascifolia,Rubiaceae,Pavetta,7.5,Sinnott-Armstrong2019,
660,Pseudolachnostylis_maprouneifolia,Phyllanthaceae,Pseudolachnostylis,NA,,
661,Terminalia_myrtifolia,Combretaceae,Terminalia,NA,,
662,Pyrenacantha_kaurabassana,Icacinaceae,Pyrenacantha,19,Sinnott-Armstrong2019,
663,Rourea_orientalis,Connaraceae,Rourea,NA,,
664,Schoenoplectiella_articulata,Cyperaceae,Schoenoplectiella,NA,,
665,Scleria_microcarpa,Cyperaceae,Scleria,NA,,
666,Sclerocarya_birrea,Anacardiaceae,Sclerocarya,54.925,Sinnott-Armstrong2019,
667,Setaria_incrassata,Poaceae,Setaria,NA,,
668,Sida_acuta,Malvaceae,Sida,NA,,
669,Sida_rhombifolia,Malvaceae,Sida,NA,,
670,Sida_spinosa,Malvaceae,Sida,NA,,
671,Siphonochilus_kirkii,Zingiberaceae,Siphonochilus,NA,,
672,Slereospermum_kunthianum,Bignoniaceae,Slereospermum,NA,,
673,Sorghum_veriscolor,Poaceae,Sorghum,NA,,
674,Spermacoce_sphaerostigma,Rubiaceae,Spermacoce,NA,,
675,Sphaeranthus_kirkii,Compositae,Sphaeranthus,NA,,
676,Sporobolus_fimbriatus,Poaceae,Sporobolus,NA,,
677,Sporobolus_ioclados,Poaceae,Sporobolus,NA,,
678,Sporobolus_pyramidalis,Poaceae,Sporobolus,NA,,
679,Strychnos_madagascariensis,Loganiaceae,Strychnos,52.22222222,Sinnott-Armstrong2019,
680,Tephrosia_pumila,Fabaceae,Tephrosia,NA,,
681,Tephrosia_stormsii,Fabaceae,Tephrosia,NA,,
682,Terminalia_mollis,Combretaceae,Terminalia,NA,,
683,Terminalia_spinosa,Combretaceae,Terminalia,NA,,
684,Themeda_triandra,Poaceae,Themeda,NA,,
685,Tragia_furialis,Euphorbiaceae,Tragia,NA,,
686,Tricholaena_monachne,Poaceae,Tricholaena,NA,,
687,Tricliceras_brevicaule,Turneraceae,Tricliceras,NA,,
688,Tylosema_fassoglense,Fabaceae,Tylosema,NA,,
689,Urochloa_trichopus,Poaceae,Urochloa,NA,,
690,Vigna_friesiorum,Fabaceae,Vigna,NA,,
691,Vigna_frutescens,Fabaceae,Vigna,NA,,
692,Vigna_vexillata,Fabaceae,Vigna,NA,,
693,Vinga_unguiculata,Fabaceae,Vinga,NA,,
694,Albizia_zygia,Fabaceae,Albizia,NA,,
695,Amphimas_pterocarpoides,Fabaceae,Amphimas,NA,,
696,Erythrophleum_ivorense,Fabaceae,Erythrophleum,NA,,
697,Myrianthus_libericus,Urticaceae,Myrianthus,NA,,
698,Plagiosiphon_emarginatus,Fabaceae,Plagiosiphon,NA,,
699,Odyendea_gabunensis,Simaroubaceae,Odyendea,NA,,
700,Terminalia_ivorensis,Combretaceae,Terminalia,NA,,
701,Dialium_dinklagei,Fabaceae,Dialium,NA,,
702,Millettia_leonensis,Fabaceae,Millettia,NA,,
703,Shirakiopsis_aubrevillei,Euphorbiaceae,Shirakiopsis,NA,,
704,Vitex_ferruginea,Lamiaceae,Vitex,29.72727273,Sinnott-Armstrong2019,
705,Vitex_grandifolia,Lamiaceae,Vitex,NA,,
706,Vitex_micrantha,Lamiaceae,Vitex,NA,,
707,Voacanga_africana,Apocynaceae,Voacanga,55,Sinnott-Armstrong2019,
708,Warburgia_ugandensis,Canellaceae,Warburgia,48.6125,Sinnott-Armstrong2019,
709,Aganope_stuhlmannii,Fabaceae,Aganope,NA,,
710,Ximenia_americana,Olacaceae,Ximenia,24.55416667,Sinnott-Armstrong2019,
711,Xylopia_acutiflora,Annonaceae,Xylopia,NA,,
712,Xylopia_aethiopica,Annonaceae,Xylopia,37.5,Sinnott-Armstrong2019,
713,Xylopia_hypolampra,Annonaceae,Xylopia,NA,,
714,Xylopia_quintasii,Annonaceae,Xylopia,NA,,
715,Xylopia_rubescens,Annonaceae,Xylopia,50,Sinnott-Armstrong2019,
716,Xylopia_staudtii,Annonaceae,Xylopia,NA,,
717,Xymalos_monospora,Monimiaceae,Xymalos,11.2875,Sinnott-Armstrong2019,
718,Zanthoxylum_heitzii,Rutaceae,Zanthoxylum,NA,,
719,Zehneria_scabra,Cucurbitaceae,Zehneria,NA,,
720,Zehneria_thwaitesii,Cucurbitaceae,Zehneria,30,Sinnott-Armstrong2019,
721,Brenania_brieyi,Rubiaceae,Brenania,NA,,
722,Gambeya_beguei,Sapotaceae,Gambeya,NA,,
723,Pachyelasma_tessmannii,Fabaceae,Pachyelasma,NA,,
724,Thomandersia_laurifolia,Thromandersiaceae,Thomandersia,NA,,
725,Antrocaryon_micraster,Anacardiaceae,Antrocaryon,50.8,Sinnott-Armstrong2019,
726,Gambeya_perpulchra,Sapotaceae,Gambeya,NA,,
727,Manilkara_mabokeensis,Sapotaceae,Manilkara,NA,,
