,Plant_Species_Corrected,Genus,Spp,Plant_Family,FruitLength,FruitWidth,Citation.ID.width,Citation.ID.length,WoodDensity,WoodDensity_TaxonomicLevel
557,Maranthes_aubrevillei,Maranthes,aubrevillei,Chrysobalanaceae,40,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.830333333,genus
558,Diospyros_chevalieri,Diospyros,chevalieri,Ebenaceae,NA,NA,NA,NA,0.683275126,genus
559,Drypetes_ivorensis,Drypetes,ivorensis,Putranjivaceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.694512821,genus
560,Maesobotrya_barteri,Maesobotrya,barteri,Phyllanthaceae,9,5,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.631528482,family
561,Dialium_dinklagei,Dialium,dinklagei,Fabaceae,15,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.683,species
562,Napoleonaea_vogelii,Napoleonaea,vogelii,Lecythidaceae,50,50,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.640188716,family
563,Memecylon_lateriflorum,Memecylon,lateriflorum,Melastomaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.60289425,dataset
564,Ficus_kamerunensis,Ficus,kamerunensis,Moraceae,7,7,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.405534662,genus
565,Zanha_golungensis,Zanha,golungensis,Sapindaceae,20,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.732,species
566,Baphia_pubescens,Baphia,pubescens,Fabaceae,60,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.772,genus
567,Memecylon_afzelii,Memecylon,afzelii,Melastomaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.60289425,dataset
568,Chrysophyllum_boukokoense,Chrysophyllum,boukokoense,Sapotaceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.665168724,genus
569,Isolona_hexaloba,Isolona,hexaloba,Annonaceae,70,45,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
570,Drypetes_chevalieri,Drypetes,chevalieri,Putranjivaceae,25,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.694512821,genus
571,Oncoba_mannii,Oncoba,mannii,Salicaceae,40,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.58,genus
572,Oncoba_welwitschii,Oncoba,welwitschii,Salicaceae,100,60,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.58,species
573,Chytranthus_angustifolius,Chytranthus,angustifolius,Sapindaceae,100,150,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.734062972,family
574,Synsepalum_stipulatum,Synsepalum,stipulatum,Sapotaceae,13,7,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.6775,genus
575,Xylopia_longipetala,Xylopia,longipetala,Annonaceae,30,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.591037654,genus
576,Klainedoxa_trillesii,Klainedoxa,trillesii,Irvingiaceae,45,35,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.917791667,genus
577,Garcinia_mannii,Garcinia,mannii,Clusiaceae,15,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.824,species
578,Garcinia_smithii,Garcinia,smithii,Clusiaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.741621569,genus
579,Ficus_jansii,Ficus,jansii,Moraceae,10,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.405534662,genus
580,Manilkara_mabokeensis,Manilkara,mabokeensis,Sapotaceae,40,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.885127237,genus
581,Sorindeia_africana,Sorindeia,africana,Anacardiaceae,20,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.56,genus
582,Diospyros_polystemon,Diospyros,polystemon,Ebenaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.683275126,genus
583,Cola_lizae,Cola,lizae,Malvaceae,70,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.612895833,genus
584,Ganophyllum_giganteum,Ganophyllum,giganteum,Sapindaceae,25,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.698,species
585,Ficus_lyrata,Ficus,lyrata,Moraceae,40,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.405534662,genus
586,Greenwayodendron_oliveri,Greenwayodendron,oliveri,Annonaceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
587,Oncoba_brevipes,Oncoba,brevipes,Salicaceae,70,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.58,genus
588,Syzygium_rowlandii,Syzygium,rowlandii,Myrtaceae,25,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.664366667,genus
589,Psydrax_arnoldiana,Psydrax,arnoldiana,Rubiaceae,NA,NA,NA,NA,0.76275,genus
590,Pancovia_bijuga,Pancovia,bijuga,Sapindaceae,NA,NA,NA,NA,0.734062972,family
591,Pouteria_aningeri,Pouteria,aningeri,Sapotaceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.444666667,species
592,Octolobus_spectabilis,Octolobus,spectabilis,Malvaceae,25,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.488731536,family
593,Piptostigma_fasciculatum,Piptostigma,fasciculatum,Annonaceae,70,55,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
594,Memecylon_polyanthemos,Memecylon,polyanthemos,Melastomaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.60289425,dataset
595,Aidia_genipiflora,Aidia,genipiflora,Rubiaceae,15,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.752666667,genus
596,Monodora_tenuifolia,Monodora,tenuifolia,Annonaceae,55,55,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.49,species
597,Mimusops_andongensis,Mimusops,andongensis,Sapotaceae,25,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.835037037,genus
598,Hildegardia_barteri,Hildegardia,barteri,Malvaceae,50,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.488731536,family
599,Diospyros_suaveolens,Diospyros,suaveolens,Ebenaceae,40,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.683275126,genus
600,Diospyros_viridicans,Diospyros,viridicans,Ebenaceae,25,25,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.683275126,genus
601,Diospyros_zenkeri,Diospyros,zenkeri,Ebenaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.683275126,genus
602,Leptaulus_daphnoides,Leptaulus,daphnoides,Cardiopteridaceae,15,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.630744444,family
603,Afrosersalisia_rwandense,Afrosersalisia,rwandense,Sapotaceae,NA,NA,NA,NA,0.714868812,family
604,Harungana_montana,Harungana,montana,Hypericaceae,4,4,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.467,genus
605,Beilschmiedia_troupinii,Beilschmiedia,troupinii,Lauraceae,30,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.563114975,genus
606,Ficus_oreadryadum,Ficus,oreadryadum,Moraceae,20,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.405534662,genus
607,Ochna_afzelii,Ochna,afzelii,Ochnaceae,8,6,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.746375,genus
608,Psychotria_mahonii,Psychotria,mahonii,Rubiaceae,6,6,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.5636,genus
609,Sericanthe_leonardii,Sericanthe,leonardii,Rubiaceae,20,15,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.637445335,family
610,Balthasaria_schliebenii,Balthasaria,schliebenii,Pentaphylacaceae,20,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.59452193,family
611,Ficalhoa_laurifolia,Ficalhoa,laurifolia,Sladeniaceae,3,3,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.57,species
612,Magnistipula_butayei,Magnistipula,butayei,Chrysobalanaceae,70,50,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.805709207,family
613,Warneckea_walikalensis,Warneckea,walikalensis,Melastomaceae,30,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.60289425,dataset
614,Craterispermum_schweinfurthii,Craterispermum,schweinfurthii,Rubiaceae,5,5,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.663,species
615,Garcinia_kola,Garcinia,kola,Clusiaceae,75,75,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.727333333,species
616,Psydrax_subcordata,Psydrax,subcordata,Rubiaceae,8,12,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.76275,genus
617,Zanthoxylum_leprieuri,Zanthoxylum,leprieuri,Rutaceae,5,5,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.617740729,genus
618,Cola_acuminata,Cola,acuminata,Malvaceae,150,50,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.507666667,species
619,Raphia_hookeri,Raphia,hookeri,Arecaceae,90,45,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.551760417,family
620,Croton_megalocarpus,Croton,megalocarpus,Euphorbiaceae,35,36,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.5346,species
621,Ficus_sycomorus,Ficus,sycomorus,Moraceae,35,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.421666667,species
622,Ritchiea_albersii,Ritchiea,albersii,Capparaceae,40,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.68325,family
623,Synsepalum_cerasiferum,Synsepalum,cerasiferum,Sapotaceae,25,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.6775,genus
624,Isolona_deightonii,Isolona,deightonii,Annonaceae,60,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
625,Tabernaemontana_contorta,Tabernaemontana,contorta,Apocynaceae,85,85,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.526071429,genus
626,Albizia_gummifera,Albizia,gummifera,Fabaceae,150,30,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.533857143,species
627,Newtonia_buchananii,Newtonia,buchananii,Fabaceae,270,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.501777778,species
628,Parkia_filicoidea,Parkia,filicoidea,Fabaceae,450,35,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.4575,species
629,Beilschmiedia_mannii,Beilschmiedia,mannii,Lauraceae,50,20,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.569666667,species
630,Eugenia_gilgii,Eugenia,gilgii,Myrtaceae,10,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.722760274,genus
631,Psychotria_camptopus,Psychotria,camptopus,Rubiaceae,10,10,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.5636,genus
632,Uvariastrum_pierreanum,Uvariastrum,pierreanum,Annonaceae,90,40,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.565580531,family
633,Ocotea_gabonensis,Ocotea,gabonensis,Lauraceae,60,50,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.539081638,genus
634,Baillonella_toxisperma,Baillonella,toxisperma,Sapotaceae,80,80,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.7249,species
635,Raphia_africana,Raphia,africana,Arecaceae,80,35,"Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).","Durand-Bessart, C. et al. Trait matching and sampling effort shape the structure of the frugivory network in Afrotropical forests. New Phytologist 237, 1446–1462 (2023).",0.551760417,family
